Gene	log2(MB231_day21)-log2(MB231_day7)	log2(LM2_day21)-log2(LM2_day7)
ANTXR1	-0.109996383	-0.121489089
ANTXR2	-0.413129479	-1.133238293
ANXA1	-0.349359747	-0.055249081
ANXA10	0.23909867	0.346873079
ANXA11	-0.06209965	0.044168069
ANXA13	-0.517468554	-0.80914009
ANXA2	-0.191303784	-1.44149011
ANXA3	-0.538479389	-0.797642492
ANXA4	0.006341143	-0.133834221
ANXA5	-0.085551607	-0.632456056
ANXA6	0.04323642	-0.34717031
ANXA7	-0.170440762	-0.91242354
ANXA8L2	-0.129704426	-0.345153801
ANXA9	-0.436618918	-0.079530027
AOAH	-0.068875696	-1.024541276
AOC2	-0.692248398	-0.177851854
AOC3	0.083896393	-0.190793684
AOX1	-0.364945276	-0.528781651
AP1AR	-0.045380303	-0.4966902
AP1B1	-0.352587652	0.094802855
AP1G1	-0.070237943	1.025265632
AP1G2	0.515487114	-0.300668282
AP1M1	-0.134343105	-0.802613424
AP1M2	-0.736655148	-0.187763731
AP1S1	-0.682092165	-0.688691013
AP1S2	-0.157942178	-0.762368176
AP1S3	-0.651425797	-0.710903611
AP2A1	-0.649760434	-2.014297039
AP2A2	-0.076431816	-1.100877094
AP2B1	-2.006548797	-1.044643404
AP2M1	-0.971920598	-0.877062598
AP2S1	-0.602382312	-2.840944639
AP3B1	-0.48217884	-0.518317548
AP3B2	-0.250093562	-0.756505203
AP3D1	-0.223339941	-0.603392089
AP3M1	-0.494789501	-1.476173588
AP3M2	-0.199976415	0.210715749
AP3S1	-0.500146418	-0.927287871
AP3S2	-0.212333792	-0.462181615
AP4B1	-0.054960112	-0.379378146
AP4E1	-0.481686336	0.539304278
AP4M1	-0.482393627	-0.583266971
AP4S1	-0.693229209	-0.131701673
APAF1	-0.077776864	0.126941515
APBA1	-0.644111248	-1.42539735
APBA2	0.065681949	-0.374300189
APBA3	-0.089609892	-0.095818342
APBB1	-0.595101584	-1.079425382
APBB1IP	-0.052415485	-1.763326003
APBB2	-0.022935047	-0.553257826
APBB3	-0.356927499	-2.469210132
APC	-0.224776972	-1.07779737
APC2	-0.652148254	-1.573378783
APCDD1	-0.299261105	-0.347761848
APCDD1L	-0.069505118	-1.769709601
APCS	-0.586469481	-0.338495434
APEH	-0.126668155	-0.167575962
APEX1	-0.587640406	-0.215691662
APEX2	-0.561067934	-0.389113157
APH1A	-0.330170394	-0.367293885
APH1B	-0.358796058	-1.041482848
API5	-0.83685714	-0.064831684
APIP	-1.339660631	-2.198998324
APITD1	-0.165534131	-1.161952403
APLF	0.041956629	-0.212691144
APLN	0.142861323	-0.275216984
APLNR	0.325305996	-0.041117162
APLP1	-0.655482822	-0.886192874
APLP2	-0.396707775	-1.892862098
APOA1	0.018723628	-1.231544238
APOA1BP	-0.780947449	-0.977424742
APOA2	0.064234026	-0.33560226
APOA4	-0.074189563	-0.216625578
APOA5	-0.1787769	-0.373710565
APOB	-1.074968867	-0.808591098
APOBEC1	-0.104901416	-0.51845672
APOBEC2	-0.417146701	-1.29663109
APOBEC3A	0.096260121	-0.932490924
APOBEC3B	-0.096291538	-1.421801245
APOBEC3C	0.008043799	-0.666981375
APOBEC3D	-0.253568458	-0.512424505
APOBEC3F	-0.419565771	-0.299330492
APOBEC3G	-0.863484591	0.197043102
APOBEC3H	-0.711227694	-0.918163358
APOBEC4	0.146472628	-0.036707081
APOC1	-0.323047418	-0.069561233
APOC2	-0.620407064	-0.708993392
APOC3	0.202643765	-0.92266181
APOC4	-0.24615319	-0.347431648
APOD	-0.262103421	-0.295485249
APOE	-0.503770084	-0.882096349
APOF	-0.170484807	-1.208350106
APOH	0.493081649	-2.040557011
APOL1	-0.832134164	-1.11508292
APOL2	0.241481347	-0.022076197
APOL3	0.151919415	-0.424817993
APOL4	-0.363600793	-0.151645668
APOL5	0.156702843	-0.389077338
APOL6	-0.146948623	-1.019966613
APOLD1	-1.277430835	-1.779604535
APOM	-0.399498401	-0.816578009
APOO	-0.429540241	-1.501257457
APOOL	-0.583512408	-0.934672384
APP	-0.212838956	-0.179560721
APPBP2	-0.028844016	-0.076481096
APPL1	-0.036312334	-0.677508595
APPL2	-0.114582208	-0.738027224
APRT	-0.473577029	-1.020952853
APTX	-0.453301503	-1.203224764
AQP1	-0.572707971	-0.593840807
AQP10	-0.338691137	-1.154054364
AQP11	0.492742649	0.047986817
AQP12B	-2.054541306	-0.775898042
AQP2	-0.464394301	-0.696579978
AQP3	-0.295495291	-0.386280623
AQP4	-0.382773404	0.050198303
AQP5	-0.724892473	-1.456583016
AQP6	-0.571829053	-1.593947628
AQP7	-0.797576406	-0.842294579
AQP8	-0.489025	-0.488112005
AQP9	-0.494511998	0.538285931
AQPEP	-0.796167732	-0.806558286
AQR	-1.526137905	-1.676766131
AR	-0.147290812	-0.267216209
ARAF	-0.393157415	-0.30324276
ARAP1	-1.002127734	-1.403347918
ARAP2	0.043077358	-0.129620072
ARAP3	-0.279192253	-0.043359746
ARC	0.362611061	-0.120429643
ARCN1	-0.781570439	-1.151310435
AREG	-0.499762833	-0.955173336
ARF1	-0.675489256	-0.76832052
ARF3	-0.494089882	0.455250089
ARF4	-1.442781271	-1.591699931
ARF5	-0.478101838	-1.038527746
ARF6	-0.018221031	-0.485552386
ARFGAP1	-0.469461085	-0.970911861
ARFGAP2	-0.13569511	-0.302059073
ARFGAP3	-0.168645876	-1.545233092
ARFGEF1	-0.014405764	-0.195225209
ARFGEF2	-0.29206447	-0.810498496
ARFIP1	0.229778252	-1.179264761
ARFIP2	-0.446466669	-0.023852462
ARFRP1	-1.179196567	-1.371724355
ARG1	-0.724358696	-1.306690205
ARG2	-0.05716464	0.209386502
ARGFX	-0.289839422	-0.52896532
ARGLU1	-0.797025472	-0.955393002
ARHGAP1	-0.840092581	-0.96196728
ARHGAP10	-0.596921643	-0.466407621
ARHGAP11A	-1.044458733	-1.019240239
ARHGAP11B	0.433227674	-0.969603937
ARHGAP12	-0.040059206	-0.291440656
ARHGAP15	-0.567163321	-0.141592268
ARHGAP17	-0.030666848	-2.45590673
ARHGAP18	0.037019943	-0.380183799
ARHGAP19	-0.162078644	-0.916686379
ARHGAP20	0.174578949	0.569046408
ARHGAP21	-1.08865407	-2.756307158
ARHGAP22	0.283861908	-1.539352537
ARHGAP23	-0.056422848	-0.290805576
ARHGAP24	-0.805487579	-1.135350218
ARHGAP25	-0.144135444	-0.004955821
ARHGAP26	-0.182872669	-1.07205159
ARHGAP27	0.010981196	0.543536154
ARHGAP28	0.20863861	0.234565255
ARHGAP29	-0.513238149	-0.64743406
ARHGAP30	-0.384237764	-0.512739138
ARHGAP31	-0.390097369	-0.756753946
ARHGAP32	-0.197083111	-0.646620795
ARHGAP33	-0.523174051	-0.437212823
ARHGAP36	-0.251300444	-0.471478961
ARHGAP39	-1.19490295	-0.322220121
ARHGAP4	-0.008900878	-0.966348163
ARHGAP5	0.359084568	-0.453650321
ARHGAP6	0.780587093	-1.384519362
ARHGAP8	0.333963036	-0.885817846
ARHGAP9	-0.768206798	-0.227325289
ARHGDIA	0.157756721	-1.113166227
ARHGDIB	-0.332314487	-1.01864695
ARHGDIG	-0.22855092	0.107037791
ARHGEF1	-0.706951077	-0.45069292
ARHGEF10	0.23756444	-0.675267983
ARHGEF10L	-0.479610708	-0.599329413
ARHGEF11	0.147478398	-0.327341178
ARHGEF12	-0.649813106	-0.421664329
ARHGEF15	-0.42363083	-0.933334817
ARHGEF16	-0.238703534	-0.656185857
ARHGEF17	-0.576968132	-0.957670492
ARHGEF18	0.317542857	-0.696783222
ARHGEF19	-0.113647064	-0.926999173
ARHGEF2	-0.201914494	-0.441862158
ARHGEF3	-0.636524599	-0.229241456
ARHGEF33	0.081253247	-0.403117521
ARHGEF35	-0.372974375	0.470239641
ARHGEF37	0.104576424	0.789899885
ARHGEF38	-0.151000125	-0.223434199
ARHGEF4	-0.704026288	-1.017891755
ARHGEF5	-0.298828762	-0.89059147
ARHGEF6	-0.261305462	-0.498130843
ARHGEF7	0.284379977	-0.327315145
ARHGEF9	-0.703429203	-0.793251506
ARID1A	-2.110835285	-0.639879683
ARID1B	-0.3645648	-0.473552322
ARID2	-1.813294203	-2.644517249
ARID3A	-0.195738601	-1.598500228
ARID3B	-0.518940872	-0.781832865
ARID3C	-0.153566121	-0.895359607
ARID4A	-0.095266472	-0.912600193
ARID4B	-0.521000439	-0.470180313
ARID5A	-3.155194156	0.048436177
ARID5B	0.176135881	-1.958948136
ARIH1	-0.508521875	-1.251241534
ARIH2	0.330860461	-0.267513969
ARL1	-0.296045246	-1.24850125
ARL10	-0.49166964	-0.482198846
ARL11	-0.241249948	-0.483187264
ARL13A	-1.019119585	-1.37911237
ARL13B	-0.408681852	-1.291503432
ARL14	0.132431357	-0.620211446
ARL15	-0.735554272	-0.69157009
ARL16	-0.261423476	-0.203892902
ARL17A	-0.355855633	-0.611537736
ARL17B	-1.143112316	-3.136274612
ARL2	-1.973108103	-2.222134462
ARL2BP	-0.284973409	-0.489208962
ARL3	-0.641988183	-0.446370491
ARL4A	-0.316537525	0.179258984
ARL4C	-0.328343858	-2.279282596
ARL4D	-0.647640358	-0.323393095
ARL5A	-0.160749594	-0.56808806
ARL5B	-0.034193287	-0.063908027
ARL5C	-0.544921226	-0.895531803
ARL6	-0.036842866	-0.129768019
ARL6IP1	-0.423913422	-0.566846507
ARL6IP5	-0.321333619	-0.751852884
ARL6IP6	-0.688772144	-1.420721257
ARL8A	-0.805027628	-1.265132246
ARL8B	-0.430201367	-0.973613677
ARL9	-0.281932251	-0.319557855
ARMC1	-0.174322679	0.177931904
ARMC10	0.006385971	-1.091799738
ARMC2	-0.77471126	-1.159288704
ARMC3	-0.028812931	-0.166746042
ARMC4	-0.87168844	-1.00995191
ARMC5	-0.344757723	0.044969301
ARMC6	-0.597855494	-1.268144656
ARMC7	-0.579768744	-0.254539389
ARMC8	-1.078847003	0.26667509
ARMC9	-0.065427866	-1.310540201
ARMCX1	0.140309166	-0.114387552
ARMCX2	0.265027749	0.610749395
ARMCX3	-0.265284045	-0.540202106
ARMCX5	-0.505640186	-0.602591953
ARMCX6	0.012515353	-0.667109665
ARMS2	-0.152440245	-0.180793399
ARNT	-0.222115382	-0.136012017
ARNT2	-0.001624877	-0.204973516
ARNTL	-0.689306955	-0.816045187
ARNTL2	0.4095106	-0.084281252
ARPC1A	-0.158885721	0.095667426
ARPC1B	-0.182542105	-1.46222441
ARPC2	-0.77529538	-0.841109384
ARPC3	-1.38358171	-3.930722824
ARPC4	0.025595827	-2.06222129
ARPC5	-0.748660951	-0.460238852
ARPC5L	0.042238151	-0.094927312
ARPP19	-0.170512693	-0.224598872
ARPP21	-0.167141623	-1.167383675
ARR3	-0.549904634	-0.390637248
ARRB1	0.277716833	-1.066488546
ARRB2	0.12471929	-0.411847886
ARRDC1	-0.43883238	-1.008507261
ARRDC2	-0.255608501	-0.979143421
ARRDC3	-0.570407126	-0.474078626
ARRDC4	-0.030136207	-0.730350445
ARRDC5	-0.520366007	-0.160461292
ARSA	-0.202492287	-0.98389541
ARSB	-0.316355753	-0.165014407
ARSD	-0.46281897	-0.566102095
ARSE	-0.425572401	-0.559229732
ARSF	0.425781914	0.680106505
ARSG	-0.274558517	-0.686338934
ARSH	0.079661376	-0.528641737
ARSI	-0.266829081	-0.694525395
ARSJ	-0.076921287	0.135268023
ARSK	-1.209030099	-1.238257415
ART1	-0.156823112	-0.986849794
ART3	-0.100200825	-0.81681045
ART4	0.159296203	-1.462075856
ART5	-1.6012844	-3.223509243
ARTN	-0.456920567	-0.62038671
ARV1	-0.156522658	-0.355653175
ARVCF	-0.377050407	-0.838064578
ARX	-0.052812257	-0.369544514
AS3MT	0.001299463	-1.524647283
ASAH1	-0.273957828	0.226392687
ASAH2	-0.048907166	-0.441411255
ASAH2B	-0.342388713	-0.448000953
ASAP1	-0.302930574	-0.436110047
ASAP2	-0.402179691	-2.850994459
ASAP3	-0.54465391	-1.458012294
ASB1	-0.064474975	-0.804207884
ASB10	-0.623388767	0.271972719
ASB11	-0.312777965	-0.710076669
ASB12	-0.01521135	-0.327987316
ASB13	-0.227064161	-0.744405597
ASB14	-0.522015998	-2.567534039
ASB15	-0.368229077	0.190128944
ASB16	-0.848566599	-1.089027281
ASB17	-1.680445475	-0.521836263
ASB18	-0.241951405	-1.005643375
ASB2	-0.043139788	-0.569320488
ASB3	-0.581034701	-0.954727003
ASB4	0.038029881	0.038101562
ASB5	-0.057423517	-0.532915724
ASB6	0.151440909	-1.229039687
ASB7	0.228762102	-0.861376379
ASB8	-0.644000227	-0.364955856
ASB9	-0.24747476	-2.590500435
ASCC1	0.54599264	-0.87589747
ASCC2	-0.195287731	-0.708449803
ASCC3	-0.056833809	-0.8549864
ASCL1	-0.469004391	-0.558199329
ASCL2	-0.169247556	0.481205788
ASCL3	-0.324786798	-0.677406657
ASCL4	0.058111432	-1.421681012
ASF1A	-0.050937971	-1.500021502
ASF1B	-1.712476585	-1.755602223
ASGR1	-1.052629102	-2.051013472
ASGR2	-0.001854519	-0.815319522
ASH1L	-0.348167681	-1.240352943
ASH2L	-1.261484969	-2.533435741
ASIP	-0.343498217	0.69583831
ASL	-0.805391269	-0.565193879
ASNA1	-1.340942344	-1.476170803
ASNS	-1.480902194	2.298898231
ASNSD1	0.029140544	-0.624921219
ASPA	-0.474636656	-0.395490217
ASPDH	-0.383769391	-0.46589605
ASPG	0.179985724	0.411196344
ASPH	0.068677839	-0.717216236
ASPHD1	-0.142681201	-0.347786878
ASPHD2	-0.883985827	-1.583151494
ASPM	-0.015006284	-0.683257558
ASPRV1	-0.318776673	-1.288897503
ASPSCR1	-0.3818788	-0.926629328
ASRGL1	0.047651415	-0.725147163
ASS1	-0.494497183	-2.087224414
ASTE1	-0.152141186	0.0111526
ASTL	-0.665436033	-0.767433135
ASTN1	-0.262505928	-0.217647409
ASTN2	-0.175155583	0.289871178
ASXL1	-0.670637806	-0.974554801
ASXL2	-0.092857121	-0.542391845
ASXL3	-0.136053282	0.062053243
ASZ1	0.127604955	-0.276724572
ATAD1	-1.009694135	-1.045128595
ATAD2	0.495921036	-0.597159738
ATAD2B	0.01990434	-0.639428192
ATAD3A	-0.555380471	-0.893292792
ATAD3B	-0.340739583	-0.393578746
ATAD3C	-0.318835052	0.26914188
ATAD5	0.037461908	0.579480683
ATCAY	0.02105882	-0.941111915
ATE1	-0.420409315	-1.187391175
ATF1	-0.16682226	-0.611724689
ATF2	-0.337431864	-1.253144582
ATF3	-0.381805887	-2.398625423
ATF4	-0.210865608	-0.060522927
ATF5	-0.228311954	-0.236661803
ATF6	-0.032351846	-1.424660056
ATF6B	-0.710292561	-0.778369136
ATF7	-0.117832079	-0.713109973
ATF7IP	-0.183259641	-0.218399335
ATF7IP2	-1.052445275	-0.220085102
ATG10	-0.1423122	-0.652342891
ATG12	-0.650915071	-0.229340498
ATG16L1	-0.22942907	0.290452092
ATG16L2	-0.570145177	-2.735001226
ATG2A	-0.04276599	-1.286754583
ATG2B	-0.213438808	-0.999706141
ATG3	-0.125927155	-0.732533746
ATG4A	-0.776406856	-1.612536439
ATG4B	-0.065670813	-0.311163254
ATG4C	0.18687414	-0.443119967
ATG4D	-0.821674889	-1.051635962
ATG5	-0.381698949	0.651201272
ATG7	0.006420512	-0.053387623
ATG9A	0.307571898	-0.280688281
ATHL1	-0.093539643	-0.733051676
ATIC	-0.609995664	-0.248493931
ATL1	-0.603894475	-1.117312667
ATL2	-0.80089304	-0.144807836
ATL3	-0.350632908	-0.234959762
ATM	-0.080521475	-0.883318419
ATMIN	0.11978586	0.016692471
ATN1	0.152403289	0.219338086
ATOH1	-0.419978727	-0.268855449
ATOH7	-0.023774994	0.092199674
ATOH8	0.360972325	-1.249555757
ATOX1	-0.369967326	-1.675365291
ATP10A	-0.267103847	-0.714504826
ATP10B	-0.225048059	0.906158029
ATP10D	0.06609684	-1.003188298
ATP11A	0.062102809	-0.814396922
ATP11B	0.45871618	-0.486776237
ATP11C	-0.108067826	-0.446478383
ATP12A	-1.179629088	-0.968441974
ATP13A1	-1.166439662	0.160322771
ATP13A2	-0.12955217	-0.363141619
ATP13A3	-0.325968191	-1.928431042
ATP13A4	0.195066761	-1.32366069
ATP13A5	-0.215538873	-0.122543741
ATP1A1	-0.886818141	-0.500748732
ATP1A2	-0.535584245	-1.553754844
ATP1A3	-0.398019687	-0.685702271
ATP1A4	-2.037746655	-1.038969582
ATP1B1	-0.20412989	-1.383585718
ATP1B2	-0.347084265	-0.412184307
ATP1B3	-0.14786465	-0.20468531
ATP1B4	-0.052186506	-1.481691464
ATP2A1	0.051723437	-0.22494063
ATP2A2	-0.687188298	-1.81105214
ATP2A3	-0.169902199	-0.545216427
ATP2B1	-0.68904253	-0.339022937
ATP2B2	-0.223945518	-0.276963755
ATP2B3	-0.644470426	0.050277413
ATP2B4	-0.354082027	-1.0233536
ATP2C1	0.060177754	-1.548731816
ATP2C2	-0.029074985	-1.857244267
ATP4A	-0.548861378	-0.632466622
ATP4B	-0.190405406	-1.280049336
ATP5A1	-0.348392431	-0.265525989
ATP5B	-0.24087067	-0.967194098
ATP5C1	0.18198914	0.003643602
ATP5D	0.27824556	-0.341066209
ATP5E	-0.050867033	-0.434942937
ATP5F1	-0.028478723	-1.02620409
ATP5G1	-0.597352298	-0.377817407
ATP5G2	-0.09471251	-0.995061594
ATP5G3	0.003103715	-0.862692659
ATP5H	-0.288453515	-0.517029442
ATP5I	-0.006010149	-0.201226115
ATP5J	-0.565200384	0.194848464
ATP5J2	-1.09459581	-1.575866438
ATP5L	-2.206762857	-1.351127185
ATP5L2	-0.130348602	-0.132573098
ATP5O	-0.264590033	-1.402539989
ATP5S	0.123377521	-0.387186746
ATP5SL	-0.52104021	-1.762628075
ATP6AP1	-2.3264204	-3.628006073
ATP6AP1L	-0.873163043	0.337403202
ATP6AP2	-0.874800703	-0.878634772
ATP6V0A1	-0.256005363	-0.996019183
ATP6V0A2	-0.020679385	-0.804607554
ATP6V0A4	-0.284130729	-0.426228035
ATP6V0B	-1.362958112	-2.560846387
ATP6V0C	-2.324571431	-3.134126696
ATP6V0D1	-1.709981882	-1.54831336
ATP6V0D2	0.019807767	0.318699499
ATP6V0E1	-0.258906547	-0.80801327
ATP6V0E2	-0.845943025	-1.089721696
ATP6V1A	-2.412082225	-2.171780842
ATP6V1B1	0.004876531	0.024647383
ATP6V1B2	-1.508362441	-2.313165816
ATP6V1C1	-2.713971385	-0.968411263
ATP6V1C2	0.101983597	-0.286249606
ATP6V1D	-0.130171054	0.163796593
ATP6V1E1	-1.804614084	-2.435975729
ATP6V1E2	-0.400232722	0.128432152
ATP6V1F	-1.076040027	-2.64966721
ATP6V1G1	-2.466118792	-3.58716516
ATP6V1G2	-0.274688736	-1.081072839
ATP6V1G3	-0.396076476	-0.862858183
ATP6V1H	-0.921042975	-2.524091754
ATP7A	-0.17639479	0.182288741
ATP7B	-0.267148765	-0.784919184
ATP8A1	-0.515994115	0.364923655
ATP8A2	-0.553812077	-0.875437012
ATP8B1	0.22637469	-0.637522585
ATP8B2	-0.078815634	-1.349357577
ATP8B3	-0.194985283	-0.285875803
ATP8B4	-0.771651553	0.21847285
ATP9A	-0.334023243	-1.053910579
ATP9B	-0.345558333	-0.861242405
ATPAF1	-0.552029106	-1.003451029
ATPAF2	-0.738262803	-1.184801227
ATPBD4	-1.152535697	-3.009313782
ATPIF1	-0.034010418	-0.005388066
ATR	-0.864112023	-0.827219805
ATRIP	-0.250804941	0.544003175
ATRN	-0.469482603	0.089504225
ATRNL1	-0.02823602	-0.749505784
ATRX	0.037183201	-0.755839374
ATXN1	-0.077810378	-0.603687469
ATXN10	-0.167177966	0.336848882
ATXN1L	-0.419455777	-0.579985851
ATXN2	-0.081097792	-0.690079282
ATXN2L	0.223838839	-0.420309006
ATXN3	-0.311656114	-0.864246725
ATXN3L	0.195269287	-0.904592593
ATXN7	-0.367803713	-2.130590596
ATXN7L1	0.166377901	-0.813194084
ATXN7L2	0.037053493	-0.546795446
ATXN7L3	-0.475317447	-1.499124308
ATXN7L3B	-0.437195267	-1.242563363
AUH	0.178572643	-0.351335234
AUP1	-0.30042596	-1.852360887
AURKA	-0.530750372	0.001371617
AURKAIP1	-0.115334456	-0.857525208
AURKB	-1.06410187	-1.515314217
AURKC	-0.476191603	-0.127495457
AUTS2	-0.051253971	-0.730155844
AVEN	0.186913573	-0.660732634
AVIL	-0.347610342	-0.683239887
AVL9	-0.271924311	0.205977664
AVP	-0.046095743	-0.188201462
AVPI1	-0.582687734	-0.618367047
AVPR1A	0.359132237	-0.333299589
AVPR1B	-0.120686707	-2.164997567
AVPR2	0.013635613	-0.216883083
AWAT1	-0.765700561	-0.359317161
AWAT2	-0.170634885	-1.116334919
AXIN1	0.433252315	-0.504985823
AXIN2	-0.172730739	0.145480921
AXL	-0.89452651	-0.970712591
AZGP1	0.155802897	0.145234286
AZI1	0.156549139	-0.527999695
AZI2	0.065214193	-0.114223575
AZIN1	-0.453506776	-1.934893128
AZU1	-0.358169292	-0.433126665
B2M	-0.16982649	-0.326699544
B3GALNT1	-0.133726475	-0.538543378
B3GALNT2	0.391808847	-0.472205058
B3GALT1	-0.63955334	-0.049066817
B3GALT2	-0.205338031	-0.607200443
B3GALT4	-0.743340185	-2.299118963
B3GALT5	-0.403567136	-0.403030951
B3GALT6	-0.275840086	-0.678657904
B3GALTL	-0.655911336	-0.873879007
B3GAT1	-0.179398754	-0.810916776
B3GAT2	0.322206154	-0.6616099
B3GAT3	-0.487477884	-0.043270746
B3GNT1	0.052802102	-1.328702701
B3GNT2	-0.210977883	-0.880281203
B3GNT3	0.26408787	0.140332694
B3GNT4	-0.557510578	-1.708934994
B3GNT5	0.524717943	-0.956407227
B3GNT6	0.598089479	-0.650598
B3GNT7	-0.149374581	-0.583515506
B3GNT8	-0.198585425	-1.140489794
B3GNT9	-0.108715871	-1.70750569
B3GNTL1	-0.188127795	-0.374760825
B4GALNT1	-0.466174078	-0.572833123
B4GALNT2	-0.793067453	-0.915720827
B4GALNT3	-0.132634421	-1.292548926
B4GALNT4	-0.409288839	-0.65167638
B4GALT1	-0.393739988	-0.591116208
B4GALT2	-0.328619739	-2.744835467
B4GALT3	-0.11210845	-0.908587977
B4GALT4	-0.406532593	-0.334210753
B4GALT5	-0.282921954	-0.893727682
B4GALT6	-0.405553752	-0.427677898
B4GALT7	-0.145507305	-0.143743727
B9D1	-0.389318697	-0.514117619
B9D2	0.582899947	-2.229098863
BAALC	-0.19210386	-0.945527513
BAAT	-0.251927411	-0.278678077
BACE1	-0.278624686	-0.746881036
BACE2	-0.242433069	-1.666647121
BACH1	-0.419505956	-0.206148241
BACH2	-0.261095905	-0.474363613
BAD	-0.147232141	-0.523303718
BAG1	-1.148160011	-0.165618828
BAG2	-0.161374745	-0.788661728
BAG3	0.400243518	-0.443379633
BAG4	-0.103790219	0.113107236
BAG5	-0.548703564	-0.00726633
BAGE	-0.795641657	-1.360415734
BAHCC1	-0.036321052	-1.530782365
BAHD1	-0.185365405	-0.332124435
BAI1	-0.72647281	-0.439890819
BAI2	-0.081586407	-1.316822613
BAI3	0.012143863	-0.425998963
BAIAP2	-0.497864968	-0.303566729
BAIAP2L1	0.040907313	-0.461781272
BAIAP2L2	-1.011065801	-0.167387885
BAIAP3	0.251161754	-1.42472654
BAK1	-0.352459378	-0.546760374
BAMBI	-0.463546496	-0.551016299
BANF1	-1.496744987	-1.637465669
BANF2	-0.146510075	-1.32665898
BANK1	-0.150089935	-2.526108257
BANP	-0.93779178	-0.767853394
BAP1	-0.12438496	-0.470012215
BARD1	-1.051532445	-2.817698312
BARHL1	0.030718975	-0.798795937
BARHL2	-0.342743061	0.08782222
BARX1	0.070230663	-0.747615127
BARX2	0.379721725	0.356605527
BASP1	-0.068135657	0.108975026
BATF	-0.52126041	-1.464136462
BATF2	0.040307096	-0.347087778
BATF3	-0.413633507	-0.307874129
BAX	-0.178019979	-0.78206002
BAZ1A	0.522128603	-0.967214945
BAZ1B	-0.476068328	0.349526642
BAZ2A	-0.231267118	-2.107604476
BAZ2B	-0.546464518	-0.501528644
BBC3	-0.133279727	-0.314552432
BBOX1	-0.65587569	-2.006828053
BBS1	-0.300164329	-0.346744855
BBS10	-0.304713712	-0.946696418
BBS12	-0.005418327	0.418966464
BBS2	-0.495390659	-1.9415879
BBS4	-0.148355656	-0.653475034
BBS5	0.250319151	-0.977518151
BBS7	-0.240956415	-0.562053305
BBS9	0.170587106	0.02172359
BBX	-0.279346968	-0.356865428
BCAM	-0.403461027	-0.600922012
BCAN	-0.995895306	-0.56955073
BCAP29	-0.245216625	0.222113098
BCAP31	-1.87956786	-3.408321496
BCAR1	-0.230373786	-0.434729941
BCAR3	-0.539101217	-1.085757747
BCAS1	-0.791547733	-0.565285945
BCAS2	-0.519088171	-0.9795805
BCAS3	-0.421746938	-0.352389494
BCAS4	-0.462055504	-0.447882423
BCAT1	0.036141455	-0.038778108
BCAT2	-0.117504052	-1.001791885
BCCIP	-2.288432517	-2.447803271
BCDIN3D	-0.281257566	-1.937914759
BCHE	-0.438772129	-1.776408578
BCKDHA	0.057482105	-0.845167348
BCKDHB	-0.079260177	-0.857912677
BCKDK	-0.212205225	-0.699617342
BCL10	0.010505936	-1.234877094
BCL11A	-0.152737089	-1.636147655
BCL11B	0.000832022	-0.523375418
BCL2	-0.007827285	-1.160686064
BCL2A1	-1.060011714	-0.477455722
BCL2L1	-0.671827907	-2.01328194
BCL2L10	-0.218958936	-0.411610342
BCL2L11	-0.363941441	-0.147504926
BCL2L12	-0.160104145	-1.449123114
BCL2L13	-0.603667036	-0.811703809
BCL2L14	0.451633722	-1.092866656
BCL2L15	-0.089941171	-0.585539593
BCL2L2	-0.144838508	0.155171763
BCL3	0.004987208	-0.2563391
BCL6	0.081259584	-0.876414308
BCL6B	-0.823937221	-1.885901779
BCL7A	-0.096327878	-1.131715408
BCL7B	-0.593337321	-0.771351207
BCL7C	-0.252575203	-0.258561998
BCL9	-0.622207538	-0.384021104
BCL9L	-0.139639536	-0.385786493
BCLAF1	-0.858739654	-1.314143341
BCMO1	-0.041607383	-2.099329324
BCO2	0.016133605	-0.323642715
BCOR	-0.155432502	-0.843596827
BCORL1	-0.459422016	-0.089200543
